OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
3,-2.3295,30.929,8,-1.9639,16.594,13,4.6604,0.074633,14,3.6242,3.7345,0.56693,0.74479,0.89974,0.91975,0.32121,0.31916,0.55996,0.61883
3,-3.5872,55.368,4,-1.1123,0.068805,12,5.7954,5.8616,1,0,0,0.55907,0.81741,0.86075,NaN,0.28968,0.69061,0.65647,NaN
1,-3.8673,81.038,2,-1.301,0.25017,12,9.0679,0.064796,1,0,0,0.39763,0.81193,0.85689,NaN,0.28465,0.7474,0.65593,NaN
14,-6.334,0.50517,7,-2.8602,0.83599,15,4.4312,4.6462,18,3.3711,0.1529,0.93792,0.85824,0.87905,0.78077,0.2688,0.50484,0.69954,1.4524
8,-5.6376,0.35186,1,-0.76372,0.70645,14,7.4133,7.8039,1,0,0,0.90189,0.81715,0.85373,NaN,0.43576,0.84484,0.73729,NaN
25,-1.2776,11.254,13,-1.2348,4.5987,13,5.4737,5.5566,16,3.653,0.046245,0.29065,0.75076,0.86404,0.70302,0.72361,0.42606,0.68036,1.5661
1,-3.122,36.878,2,-2.7256,19.765,12,7.4002,7.4693,12,5.1563,5.4044,0.46076,0.75886,0.88539,0.85567,0.40456,0.30879,0.5876,0.73455
14,-3.9975,1.0226,8,-1.0636,0.077745,15,4.192,0.23619,1,0,0,0.90016,0.83675,0.87474,NaN,0.34174,0.54631,0.68766,NaN
14,-5.2823,2.5606,9,-2.2092,0.26949,15,5.1071,5.3238,16,2.8076,2.993,0.90967,0.59099,0.91103,0.82226,0.31603,0.98225,0.59098,1.1447
1,-3.4143,83.535,6,-3.296,55.134,14,6.3589,6.741,15,6.4938,0.25937,0.68708,0.82999,0.89294,0.89958,0.13612,0.15164,0.61496,0.72254
25,-0.28706,122.8,1,-0.94421,81.892,13,8.0433,8.4011,13,6.9898,6.9468,0.052226,0.096103,0.89117,0.88931,0.12034,0.19128,0.5933,0.69544
8,-3.567,1.9371,8,-1.6337,0.031593,15,6.4726,0.18061,16,2.9132,0.13712,0.76962,0.66317,0.86832,0.82363,0.67015,0.88868,0.71722,1.0802
25,-2.6003,5.755,3,-1.0268,0.12229,13,5.6202,5.8488,1,0,0,0.60551,0.86315,0.85447,NaN,0.49346,0.6011,0.70158,NaN
20,-1.7089,0.42575,1,-1.1271,0.25268,14,4.9889,0.034519,1,0,0,0.58451,0.79499,0.86564,NaN,0.69533,0.81766,0.69592,NaN
25,-2.9978,8.112,22,-2.7246,1.0812,12,4.5112,0.14162,12,3.4187,3.5351,0.77151,0.82389,0.8709,0.87297,0.32495,0.31332,0.6132,0.68638
1,-1.3647,55.454,1,-1.1972,16.881,13,5.5555,0.35693,16,4.3653,0.11689,0.34722,0.25241,0.87946,0.90475,0.1741,0.55635,0.61035,0.77162
17,-2.5856,2.2655,1,-0.26938,0.049955,12,8.2887,0.0024192,1,0,0,0.74303,0.63435,0.84608,NaN,0.56065,1.7477,0.68608,NaN
5,-2.3912,2.442,12,-1.4487,1.4358,14,6.1976,6.5482,15,2.3396,2.4629,0.8088,0.93737,0.85943,0.92368,0.74063,0.27698,0.71928,0.64942
1,-3.0367,41.768,4,-2.046,15.106,14,6.8771,7.2936,15,4.3021,0.096302,0.51145,0.69488,0.89983,0.8697,0.32314,0.37296,0.59247,0.84815
1,-2.8248,0.058617,1,-0.27538,0.093342,14,6.6363,0.071463,1,0,0,0.83183,0.66467,0.85652,NaN,0.82328,1.5425,0.7218,NaN
14,-1.187,0.31022,8,-0.92354,0.21767,13,2.9843,3.1486,1,0,0,0.69378,0.84028,0.84427,NaN,0.68133,0.52628,0.72651,NaN
13,-3.8079,0.34998,15,-2.7642,2.3886,15,5.2579,0.041604,16,3.5674,0.096661,0.88477,0.93319,0.91771,0.93279,0.39105,0.25741,0.55678,0.63816
1,-2.2607,19.833,4,-0.99666,0.097369,13,6.4771,6.7644,1,0,0,0.39015,0.82256,0.83607,NaN,0.58818,0.67342,0.75181,NaN
5,-4.9549,0.089744,1,-0.44014,0.23462,14,7.7648,0.17725,1,0,0,0.90935,0.74191,0.85733,NaN,0.47703,1.1954,0.71583,NaN
7,-2.2423,2.3628,7,-1.3493,0.15262,15,5.7196,0.19918,1,0,0,0.48888,0.82711,0.8703,NaN,1.1949,0.5846,0.70867,NaN
21,-1.8512,1.7181,1,-0.95309,0.96301,12,6.7415,6.6313,1,0,0,0.6037,0.80802,0.83247,NaN,0.65776,0.8486,0.73848,NaN
10,-3.8802,3.9341,5,-0.68082,0.026748,14,5.8639,6.1646,1,0,0,0.74588,0.81844,0.83876,NaN,0.62908,0.66214,0.78141,NaN
14,-4.3187,0.27085,16,-2.6723,0.16124,15,4.5117,0.020838,15,3.1706,3.2465,0.95515,0.91302,0.90777,0.90144,0.22679,0.27932,0.5936,0.763
15,-4.6388,0.42762,5,-1.2759,0.035087,15,3.2957,3.4546,1,0,0,0.9039,0.83951,0.87495,NaN,0.3278,0.61613,0.71306,NaN
7,-1.7924,0.23154,3,-0.5889,0.031004,14,5.6651,5.7794,1,0,0,0.84153,0.84461,0.84916,NaN,0.58975,0.65793,0.76043,NaN
7,-2.0007,0.29632,5,-0.78015,0.076096,14,4.2245,0.011254,1,0,0,0.89355,0.85208,0.85245,NaN,0.46751,0.57905,0.73619,NaN
19,-4.1922,3.1928,16,-3.495,3.3057,12,5.0063,4.9821,12,4.4492,0.068093,0.85282,0.92446,0.8782,0.86109,0.3428,0.2618,0.6109,0.71016
21,-2.2989,0.29166,7,-1.2198,1.6743,14,2.5908,2.6864,17,2.0585,0.016428,0.81532,0.63957,0.89388,0.74751,0.38067,0.79572,0.61754,1.534
1,-0.40387,63.426,16,-0.063777,48.65,12,8.663,0.3427,13,7.4874,0.23108,0.12184,0.0090963,0.87734,0.89408,0.09295,0.1421,0.59395,0.64468
8,-2.3255,4.1149,6,-1.1869,0.61973,14,5.194,0.088383,15,2.6847,2.8055,0.69096,0.78754,0.88177,0.7764,0.69067,0.64399,0.64409,1.2193
1,-0.25818,23.897,1,-0.52035,11.884,13,8.0155,0.24831,14,5.8649,6.1345,0.050817,0.33229,0.8745,0.90455,0.2506,0.30485,0.63204,0.67418
14,-5.1616,0.72282,8,-1.9117,1.0927,15,4.3047,4.5058,16,2.8196,0.0051919,0.9233,0.57024,0.90691,0.83151,0.29927,0.99836,0.60471,1.0957
25,-2.9076,5.2271,1,-0.43871,0.37621,13,5.1933,5.4214,1,0,0,0.58688,0.81026,0.85667,NaN,0.52348,0.88232,0.69457,NaN
19,-3.6018,2.8292,3,-0.99934,0.14603,15,4.7752,0.1763,1,0,0,0.8489,0.82833,0.87259,NaN,0.37481,0.68284,0.70074,NaN
1,-2.3705,1.7715,1,-0.06132,0.063704,14,7.5893,0.23935,1,0,0,0.8551,0.52087,0.85675,NaN,0.83946,2.4451,0.71497,NaN
